UFV campus Florestal,MG,-19.8843234,-44.4179023
UNIFAL-MG campus Varginha,MG,-21.42008745,-45.9490588578652
UNIFEI,MG,-19.6738,-43.2132602
UFVJM campus do Mucuri,MG,-17.882517149999998,-41.49756863116414
UFSJ,MG,-21.12335255,-44.25157403065783
UNIFEI campus Itabira,MG,-19.67372915,-43.21255472892473
IFMG campus Betim,MG,-19.9384474,-44.11808556354082
IFRR-Amajari,MG,3.6323238,-61.4107806
IFMG campus Ribeirão das Neves,MG,-19.7597783,-44.089017380607714
IFMG campus Ouro Branco,MG,-20.511814,-43.716323329634676
IFMG campus Governador Valadares,MG,-18.8304194,-41.97585848961644
IFTM campus Uberaba,MG,-19.76961575,-47.94881484279946
IFTM campus Patrocínio,MG,-18.9555708,-46.982953333521486
UFOP,MG,-20.377860249999998,-43.41948534571101
UFJF,MG,-21.77690665,-43.36916061596831
LNA - Laboratório Nacional de Astrofísica,MG,-22.4313543,-45.4911118
IFNMG campus Montes Claros,MG,-16.6869614,-43.82763869605411
IFNMG campus Arinos,MG,-15.922370749999999,-46.13490778388248
UFAM campus Parintins,MG,-2.6334228,-56.73397869325075
IFAM campus Lábrea,MG,-7.5516419,-63.0716106581597
IFAM campus Parintins,MG,-3.39699255,-57.695912198981105
IFNMG campus Almenara,MG,-16.22860065,-40.74387845321317
IFNMG campus Pirapora,MG,-17.3383299,-44.9263827
IFSULDEMINAS campus Muzambinho,MG,-21.350926,-46.5274161
IFSULDEMINAS campus Passos,MG,-20.714574900000002,-46.628169739004974
IFMA - São Raimundo,MG,-2.56730445,-44.3189872022504
IFMG campus Formiga,MG,-20.4529366,-45.43844408944126
UFU campus Umuarama,MG,-18.8836981,-48.25956880793155
UFOP campus João Monlevade,MG,-19.8358432,-43.16787727633134
IFTM campus Paracatú,MG,-17.24758895,-46.88054753300203
UFV campus Viçosa,MG,-20.76763505,-42.858785454528096
UFU campus Monte Carmelo,MG,-18.73615685,-47.48371438868695
IFMG campus Bambuí,MG,-20.030290700000002,-46.007119798772166
IFTM campus Patos de Minas,MG,-18.6464043,-46.49173067701133
ufla,MG,-21.2311625,-44.9940931
IFPR Pinhais,PR,-25.42429045,-49.16321215388488
UFPR Jandaia do Sul,PR,-23.596699450000003,-51.64947849010081
IFPR Jacarezinho,PR,-23.140320600000003,-49.97266763205198
UTFPR Toledo,PR,-26.1967693,-52.68893
UTFPR Medianeira,PR,-25.3011366,-54.1148774
UTFPR Ponta Grossa ,PR,-25.052339699999997,-50.131252881357554
UTFPR Pato Branco ,PR,-26.1964874,-52.6895685
UTFPR Londrina,PR,-23.3072239,-51.114290700735594
UTFPR Francisco Beltrão,PR,-26.08463345,-53.0909228583338
UTFPR Dois Vizinhos ,PR,-25.704215050000002,-53.097350702654424
UTFPR Cornélio Procópio ,PR,-23.18647095,-50.65687010052727
UTFPR,PR,-23.550736450000002,-51.427054673254894
UFPR,PR,-25.3986967,-49.1207032
UFFS Realeza,PR,-25.790079,-53.52758665307769
IFPR Irati,PR,-25.492810300000002,-50.63569050752416
IFPR Curitiba,PR,-25.448438799999998,-49.215257310129275
UFFS Laranjeiras do Sul,PR,-25.444386549999997,-52.444230940338954
UNILA,PR,-25.49482605,-54.56329285463681
UTFPR Apucarana,PR,-23.550736450000002,-51.427054673254894
UTFPR Campo Mourão ,PR,-24.06160715,-52.385998623580136
UEPG - Universidade Estadual de Ponta Grossa,PR,-25.0946814,-50.10330663762768
UFPR Palotina,PR,-24.294873850000002,-53.84182189549614
UFPR Litoral,PR,-25.83520205,-48.539047401147414
UFPR Paranaguá,PR,-25.521638,-48.5072398
IFPR Cascavel,PR,-24.9168295,-53.4171955
IFPR Telêmaco Borba ,PR,-24.33768365,-50.657742059917915
IFPR Assis Chateaubriand ,PR,-24.4030524,-53.5078433
IFPR Londrina,PR,-23.140320600000003,-49.97266763205198
UFPR Toledo,PR,-24.294873850000002,-53.84182189549614
PTI - Parque Tecnológico de Itaipu,PR,-25.43391025,-54.59441297070181
IFPR Barracão,PR,-26.2335843,-53.6389276
IFC-Reitoria,SC,-27.5861353,-48.5027338
UFSC-Blumenau,SC,-26.92081665,-49.098770660279826
UFFS-Chapecó,SC,-27.1162012,-52.70804944442969
UFSC-Joinville,SC,-26.235347400000002,-48.88495518583758
UFSC-Curitibanos,SC,-27.28486365,-50.534780999999995
IFSC-Xanxerê,SC,-26.87663165,-52.41834029947948
IFSC-Urupema,SC,-27.9579981,-49.87188902008204
IFSC-Joinville,SC,-26.4773529,-49.09000467379404
IFSC-Lages,SC,-27.80482815,-50.33825762497101
UFFS-Bom Pastor - Reitoria,SC,-27.1058696,-52.61657674028329
IFC-Fraiburgo,SC,-27.0176077,-50.9180324
IFC-Ibirama,SC,-27.0492065,-49.5386757
IFC-Luzerna,SC,-27.1324518,-51.4630795
IFC-Santa Rosa,SC,-46.4469629,-67.5381196
IFC-Araquari,SC,-26.39507275,-48.737522128332415
IFC-Blumenau,SC,-27.21196755,-49.63971658624256
IFC-Camboriú,SC,-27.0156754,-48.6587804
IFC-Concórdia,SC,-27.2033853,-52.085660098958385
IFC-Sombrio,SC,-29.107985,-49.632776
IFC-São Francisco do Sul,SC,-26.2495087,-48.6308087
IFSC-Araranguá,SC,-28.948679650000003,-49.4936736861374
IFC-Videira,SC,-27.0267235,-51.1451203
IFSC-Caçador,SC,-26.779517249999998,-51.03822456597127
IFSC-Criciúma,SC,-28.678011599999998,-49.33139426413868
IFSC-Chapecó,SC,-27.13723345,-52.59886692466227
IFSC-Itajaí,SC,-26.93177905,-48.685063063082
IFSC-Jaraguá,SC,-26.4773529,-49.09000467379404
UDESC-UFSC,SC,-27.091557299999998,-52.63420758526567
IFSC-São-Carlos,SC,-26.93177905,-48.685063063082
IFSC-Garopaba,SC,-28.0993918,-48.674624872655066
IFSC-São-Miguel,SC,-26.741969,-53.526442774142
IFC-Brusque,SC,-27.0964628,-48.9136323
IFC-Abelardo-Luz,SC,-26.5863876,-52.1047962
IFC-São-Bento-do-Sul,SC,-26.2483669,-49.3820672
IFRS-Porto Alegre,RS,-30.14109165,-51.12911634196581
UNIPAMPA - São Borja,RS,-28.62924595,-56.038680363578536
IFRS - Rolante,RS,-29.6554556,-50.6171228
UFSM,RS,-29.723206150000003,-53.720453363783385
UFPEL - C. Do Leao,RS,-31.80488955,-52.413066555074096
UNIFRA,RS,-29.68443645,-53.810673994258195
UFCSPA,RS,-30.031384799999998,-51.22075940435953
UNIPAMPA - S. Gabriel,RS,-30.3445387,-54.3261323
IFSul - Gravatai,RS,-29.9295641,-51.03881582743747
IFRS - Ibiruba,RS,-28.64958485,-53.103465159152215
IFRS - Osorio,RS,-29.9037199,-50.25660208486366
IFRS - Farroupilha,RS,-29.20250605,-51.348965062912974
IFRS - Caxias,RS,-29.139571,-51.17187668029355
IFRS - Erechim,RS,-27.63913665,-52.29285181375266
IFRS - B. Goncalves,RS,-29.163711900000003,-51.52313085339527
IFRS - Canoas,RS,-29.89894025,-51.15002562153094
UFFS - Erechim,RS,-27.726763849999998,-52.28398803666843
UFFS - P. Fundo,RS,-28.25855765,-52.41612086348627
FURG,RS,-29.8060539,-50.5296182
UFPEL - Porto,RS,-31.7799738,-52.33961759998028
IFSUL - Sapucaia,RS,-29.8151469,-51.1564482
IFSUL - S. Livramento,RS,-30.900641399999998,-55.53270967488182
IFSUL - V Aires,RS,-29.6373046,-52.1706813
UFFS - C. Largo,RS,-28.1422912,-54.7544501
UNIPAMPA - Jaguarao,RS,-32.5547622,-53.392030478950616
FURG - Santa Vitória do Palmar,RS,-33.5349365,-53.382894199999996
UFRGS - Ceclimar,RS,-29.9739773,-50.13793314328471
UFRGS - Gramado,RS,-29.37670945,-50.87742491741779
UNIPAMPA - Uruguaiana,RS,-30.88863805,-55.52901453959372
UNISC,RS,-29.69776605,-52.4375914730459
UFSM - Cachoeira,RS,-30.0126473,-52.9403584
IFRS - Alvorada,RS,-30.00045825,-51.05188445
IFSUL - Bagé,RS,-31.33214045,-54.0716668900218
UNIPAMPA - S. Livramento,RS,-30.88863805,-55.52901453959372
IFSUL - Sapiranga,RS,-29.648356550000003,-51.03202871807708
IFSUL - Lajeado,RS,-29.437061300000003,-51.986941452446985
IFFarroupilha - Santo Augusto,RS,-27.8530048,-53.7905928
UNIPAMPA - Cacapava,RS,-30.4978044,-53.4804726
IFSul - Reitoria,RS,-31.7576331,-52.3336045
FURG – S. Lourenço,RS,-31.367515150000003,-51.98292149099012
IFSUL - Charqueadas,RS,-29.9642287,-51.6251668
IFSUL - Camaqua,RS,-30.865526850000002,-51.80073484967639
IFRS - Viamao,RS,-30.084535799999998,-51.05899135325997
IFRS - Veranopolis,RS,-28.9026371,-51.54908306591497
IFRS - Sertao,RS,-28.047179,-52.27239052616525
IFRS - R. Grande,RS,-30.14109165,-51.12911634196581
IFRS - Restinga,RS,-30.14109165,-51.12911634196581
UNIPAMPA - Bagé,RS,-30.9819936,-54.6737583
UNIPAMPA - D. Pedrito,RS,-30.9819936,-54.6737583
UFSM - Palmeira das Missões,RS,-27.92123435,-53.31962852604205
UFSM - Frederico Westphalen,RS,-27.3969195,-53.428166267578305
UFRGS – Litoral,RS,-29.973445249999997,-50.2286155126359
IFSUL - P. Fundo,RS,-28.24024635,-52.35854105080028
IFSUL - Pelotas,RS,-31.7665289,-52.352534210540895
IFAC - Campus Rio Branco,AC,-9.9838261,-67.821529
IFAC - Campus Baixada do Sol,AC,-9.9838261,-67.821529
IFAC - Campus Sena Madureira,AC,-9.0669881,-68.65945263904626
IFAC - Campus Xapuri,AC,-10.660857499999999,-68.49470470469288
UNIFAP - Campus Marco Zero,AP,-0.0055589,-51.0832778
SARAH,AP,0.0233376,-51.0882291
IFAP - Porto Grande,AP,0.69848965,-51.38897705882044
INPA - Manaus,AM,-3.0973411000000004,-59.986423768847814
SECTI,AM,49.4753371,8.4697685
SUSAM,AM,40.9,69.883333
UEA,AM,24.0002488,53.9994829
UFAM - Coari,AM,-4.09495815,-63.1517610673674
UFAM - Itacoatiara,AM,-3.1428455,-58.4362281
MAMIRAUÁ,AM,-3.1174633,-64.792745
UFAM - Humaitá,AM,-7.507533,-63.0233431
UFAM - Manaus (Setor Sul),AM,-3.1001494,-59.9749807
HEMOAM,AM,-3.0860635,-60.0265973
CMM,AM,-1.5054661999999999,13.274126140168999
CDC,AM,42.3771983,-83.08136881973643
CBA,AM,-31.541710799999997,-64.49094117467187
FUAM,AM,57.6555538,-7.06432905572158
UFOPA - Oriximiná - Campus,PA,-1.7481266500000001,-55.85178670149454
IFPA - Castanhal - Campus,PA,-1.29752545,-47.95037112326011
UEPA - Santarém - Campus,PA,-2.4476581,-54.70229564110564
IFPA - Paragominas - Campus,PA,-2.97847655,-47.37945635
UNIFESSPA - Marabá - Campus II,PA,-5.3659634,-49.0242972
IFPA - Belém - Campus,PA,-1.4384739500000001,-48.46024540376176
Universidade da Amazônia (UNAMA) - Belém - Alcindo Cacela,PA,-1.4385059500000001,-48.477571511457825
CENSIPAM,PA,-1.40937225,-48.46264780037516
UFRA - Belém - Campus Perimetral,PA,-1.4550228,-48.4460066
IFPA - Braganca - Campus,PA,-1.0556871,-46.7850444
UFPA - Belém - Campus Guamá,PA,-1.4677334,-48.44350209253056
UNIFESSPA - Marabá - Campus I,PA,-5.3659634,-49.0242972
UNIFESSPA - Marabá - Campus III,PA,-5.3659634,-49.0242972
UFPA - Abaetetuba - Campus,PA,-1.7242845999999998,-48.86416532059404
UFPA - Castanhal - Centro,PA,-1.1914374,-47.173749
UFOPA - Óbidos - Campus,PA,-1.89582395,-55.51813146529173
